net,length_um
_2617_,236.425
_3330_,235.92
_3191_,235.825
_1535_,235.595
_0916_,235.58
_3439_,235.42
execute.rf.reg_outputs\[4\]\[3\],234.765
_3349_,234.735
_0747_,234.41
_0532_,233.85
net23,233.33
_1516_,232.58
_2315_,232.18
_3333_,232.01
_1340_,231.825
net101,231.55
_0670_,231.19
_1631_,230.68
execute.sreg_data_page,230.25
_3456_,229.91
net20,229.405
decode.oc_alu_mode\[9\],229.2
_1393_,229.125
net254,228.605
_2816_,228.525
_2418_,228.09
_2394_,227.8
_3521_,227.085
_2680_,226.825
execute.o_reg_ie\[1\],226.63
_1351_,226.49
_0746_,226.37
execute.rf.reg_outputs\[7\]\[9\],226.1
_3489_,226.08
_1649_,225.965
_0672_,225.785
_2842_,225.72
_3173_,225.57
decode.i_instr_l\[15\],225.495
_1828_,225.455
execute.rf.reg_outputs\[6\]\[3\],224.905
decode.oc_alu_mode\[4\],224.705
_2942_,224.19
_2882_,223.74
net217,223.23
_2977_,221.95
_0531_,221.74
_0760_,221.155
net18,221
_1133_,220.42
_3446_,220.41
_1861_,219.99
_1429_,219.74
_3425_,219.49
_0793_,219.295
execute.sreg_irq_pc.o_d\[2\],219.21
_2896_,219.17
_0904_,218.32
_3500_,218.255
_0767_,218.12
_3304_,217.8
_1135_,217.355
_1921_,217.085
execute.rf.reg_outputs\[1\]\[6\],216.71
_3353_,216.37
_1615_,216.09
execute.rf.reg_outputs\[1\]\[7\],215.965
_1656_,215.635
execute.rf.reg_outputs\[7\]\[10\],215.385
net19,215.18
_2957_,215.12
execute.sreg_irq_pc.o_d\[1\],213.825
_0770_,213.015
_0773_,212.82
_0764_,212.385
execute.alu_mul_div.mul_res\[11\],211.695
_1362_,211.46
_1341_,211.37
_1540_,211.065
_0518_,210.935
decode.i_flush,210.895
decode.oc_alu_carry_en,210.675
execute.rf.reg_outputs\[5\]\[15\],210.465
_1743_,209.97
net146,209.115
net142,208.93
execute.rf.reg_outputs\[6\]\[6\],208.425
execute.alu_mul_div.mul_res\[10\],207.62
_3360_,207.595
execute.o_reg_ie\[0\],207.03
execute.o_reg_ie\[7\],207.02
execute.sreg_irq_pc.o_d\[7\],206.905
_1334_,206.75
_1207_,206.555
net12,206.24
decode.oc_jump_cond_code\[1\],206.2
net138,205.705
_1380_,205.645
_1264_,205.635
decode.i_instr_l\[11\],205.42
decode.oc_jump_cond_code\[0\],204.92
_2918_,204.73
execute.alu_mul_div.mul_res\[8\],204.5
decode.i_instr_l\[10\],204.395
_3501_,203.985
_0906_,203.52
_3332_,203.475
_3393_,203.14
net139,203.095
_2776_,202.65
execute.rf.reg_outputs\[1\]\[5\],202.445
_1574_,201.715
_3357_,201.63
_1306_,201.45
_3414_,201.33
execute.rf.reg_outputs\[5\]\[12\],199.945
execute.rf.reg_outputs\[1\]\[4\],199.825
decode.i_instr_l\[12\],199.39
execute.sreg_irq_pc.o_d\[6\],199.325
_1164_,199.01
_0567_,198.955
_1304_,198.725
_1591_,198.57
execute.rf.reg_outputs\[5\]\[6\],198.345
execute.rf.reg_outputs\[4\]\[6\],198.25
_1489_,198.18
net143,197.895
_1498_,197.84
_2753_,197.715
_3458_,197.715
fetch.out_buffer_valid,197.36
_2700_,196.495
_2724_,196.215
_0700_,196.21
net16,195.64
_1343_,195
_1697_,194.875
_1834_,193.915
net121,193.895
_3457_,193.645
_1160_,193.42
execute.rf.reg_outputs\[7\]\[11\],193.375
_0565_,193.035
_0566_,191.48
_2515_,191.19
_1174_,190.99
net134,190.925
decode.i_instr_l\[13\],190.535
execute.rf.reg_outputs\[4\]\[7\],190.435
decode.oc_jump_cond_code\[2\],190.365
_3391_,190.285
_2055_,190.225
execute.rf.reg_outputs\[4\]\[2\],189.525
net17,189.1
execute.alu_mul_div.mul_res\[9\],189.045
net47,188.92
_0762_,188.66
_1234_,188.575
_1641_,188.225
_0668_,188.08
net122,187.93
_0569_,187.695
net87,187.555
execute.rf.reg_outputs\[3\]\[4\],187.33
net140,187.32
_1125_,186.455
net5,186.195
_0772_,186.03
_1821_,185.38
execute.alu_mul_div.mul_res\[5\],185.36
_0738_,185.27
_1833_,184.43
_0900_,183.785
_3579_,183.535
_3625_,183.515
_3363_,182.115
_0902_,182.095
execute.alu_mul_div.mul_res\[4\],181.53
execute.rf.reg_outputs\[7\]\[14\],180.795
_0680_,180.57
_0547_,180.515
decode.i_instr_l\[14\],180.45
execute.alu_mul_div.mul_res\[6\],180.28
_0678_,180.15
_1865_,179.62
clknet_1_0_0_i_clk,179.605
_1173_,179.32
execute.alu_mul_div.mul_res\[12\],179.12
_0758_,178.95
_0766_,178.705
_1824_,178.705
clknet_1_1_0_i_clk,178.66
_1119_,178.46
_1559_,177.925
_3434_,177.68
_1767_,177.42
_3582_,177.055
_0761_,177.005
execute.rf.reg_outputs\[7\]\[15\],175.9
_1542_,175.38
_2687_,174.945
_1121_,174.915
_3192_,174.88
net45,174.76
execute.alu_mul_div.mul_res\[7\],174.345
_3597_,174.245
_2618_,173.525
_3341_,173.29
_1367_,173.05
execute.rf.reg_outputs\[3\]\[3\],173.02
_0699_,172.95
_1360_,172.66
net197,172.655
_0791_,172.49
clknet_0_i_clk,172.305
execute.rf.reg_outputs\[6\]\[2\],172.06
_0691_,171.84
execute.sreg_irq_pc.o_d\[0\],171.61
_1314_,171.49
_1165_,171.19
_1577_,170.995
net123,170.935
execute.alu_mul_div.mul_res\[3\],170.57
net48,170.355
_3327_,170.32
