net,length_um
_0657_,914.24
_0591_,798.43
_1312_,783.425
net85,716.06
_0635_,710.96
_0627_,674.1
_0642_,669.21
net242,660.505
_0574_,639.38
_0809_,638.05
_3037_,635.845
net86,628.25
net91,627.4
net84,618.02
_0618_,609.07
_0601_,607.535
net88,596.1
_1180_,591.625
net99,582.705
net94,582.15
_0609_,581.575
_0844_,572.835
net90,570.48
net89,562.695
net247,557.29
net92,554.21
_1421_,550.745
clknet_3_6_0_i_clk,544.88
_1955_,538.905
_1449_,536.99
_3345_,531.62
net93,531.265
_1359_,530.36
clknet_3_7_0_i_clk,529.99
_1612_,523.695
_1313_,518.59
_1420_,507.49
net234,505.26
net235,498.345
net252,496.995
_0561_,495.255
_3007_,487.545
net251,486.85
_1353_,486.64
net96,486.605
_0583_,484.84
_1410_,483.635
clknet_3_5_0_i_clk,482.68
_3130_,482.02
_1509_,479.415
net41,477.77
_1105_,477.61
net75,476.765
net240,475.065
_3136_,474.19
_3143_,470.265
_1182_,468.315
net100,464.98
_1110_,464.755
_1630_,464.215
_0553_,463.65
_0648_,459.43
_3113_,453.785
_1490_,453.32
net104,452.44
_3120_,444.53
net244,442.2
_1633_,441.535
_1355_,438.27
_1317_,435.895
_0696_,433.16
_3068_,429.545
_1197_,428.94
_1402_,427.9
_1626_,426.865
i_clk,424.985
_1562_,422.61
_1500_,420.42
_3089_,418.275
_1551_,417.595
_1608_,415.995
_3055_,413.795
_3074_,412.375
clknet_3_1_0_i_clk,409.06
_3098_,408.75
_1395_,405.39
_1555_,403.355
net95,400.29
_3367_,399.455
net223,398.665
_3082_,398.54
_1442_,398.115
clknet_3_4_0_i_clk,397.805
_1563_,397.465
_1323_,396.435
execute.alu_mul_div.i_mul,395.76
_1356_,392.09
_1718_,391.055
_1428_,390.65
net128,389.395
clknet_3_0_0_i_clk,384.51
_1925_,381.985
_1460_,380.89
_3105_,380.18
_1325_,380.095
_1517_,379.945
net195,379.11
_1307_,374.77
_0174_,374.46
net145,374.125
net218,373.93
_1345_,373.31
_3044_,372.615
_1443_,371.685
_1609_,371.19
_3532_,370.97
_1461_,370.28
_0544_,370.05
_1361_,364.05
net1,362.84
_1480_,359.735
_1644_,357.86
_1106_,357.275
_0523_,356.7
_1339_,355.75
_1658_,354.615
_2296_,354.445
_1435_,352.75
_3328_,352.72
_0666_,351.355
_3151_,351.07
_3523_,350.965
_1218_,350.59
_3095_,349.655
_3370_,348.55
_3361_,348.205
_2044_,347.56
_1479_,347.32
net112,347.21
_3326_,344.965
_3060_,344.025
_3389_,343.145
_1403_,342.805
_1543_,341.285
_1193_,341.195
_1578_,340.75
_0740_,339.415
_1103_,339.005
clknet_3_3_0_i_clk,338.605
_2752_,338.415
_1989_,337.795
_3492_,337.5
_1305_,337.44
_1159_,337.29
_2117_,337.215
execute.sreg_long_ptr_en,336.07
_0838_,334.86
_1126_,334.73
_3356_,333.96
_1379_,332.95
net135,332.08
_3377_,331.91
_0526_,331.6
_3386_,331.25
decode.oc_alu_mode\[6\],329.47
net239,329.335
_3410_,329.275
_1628_,325.77
_1277_,324.64
_1508_,322.515
_3544_,322.17
_3352_,321.15
_1549_,320.745
_3380_,320.64
net2,320.17
net144,317.845
_1471_,314.63
_3348_,314.095
_1627_,314.07
_1401_,313.235
net221,312.805
net220,312.385
_3383_,310.91
_0859_,310.125
_1387_,310.125
_1468_,307.93
net231,307.525
_0845_,306.185
_1515_,305.835
net219,305.685
_1394_,305.34
_0517_,304.87
_3790_,304.75
_1436_,304.705
net222,304.035
_1311_,303.18
net241,303.17
_0819_,303.075
_3773_,302.52
_3518_,302.49
net141,302.34
_3374_,301.295
_1348_,301.1
_3465_,300.88
_3779_,300.87
net237,299.895
_1389_,299.635
_3451_,299.53
_1315_,299.515
_3794_,298.85
_3415_,297.88
_1383_,297.18
clknet_3_2_0_i_clk,296.885
_3477_,296.735
_3553_,296.46
_1332_,295.94
net225,295.835
_0787_,295.22
_1310_,295.215
_1808_,295.105
_0743_,295.085
_0744_,295.04
_0536_,293.795
_3499_,293.42
_1469_,293.04
_3522_,292.66
_1651_,292.545
net3,291.37
_3783_,290.955
net230,290.905
_3506_,290.84
_1349_,289.825
_0676_,289.335
net238,288.82
_1818_,287.715
_1927_,287.57
net233,287.315
_0837_,286.355
_3424_,285.78
_2616_,285.395
_1622_,285.39
_1347_,284.23
_1185_,283.28
execute.rf.reg_outputs\[7\]\[8\],282.515
_1181_,282.145
_3372_,281.66
_2193_,280.925
_0703_,279.63
_1966_,279.595
_0856_,279.45
net200,278.675
_1621_,277.885
_3480_,277.75
_1898_,277.08
net14,276.94
_3800_,276.9
_1941_,276.63
decode.o_submit,276.2
_0710_,274.92
net136,273.97
net8,273.665
_3478_,272.27
_1616_,271.84
net4,271.675
_1827_,271.57
_0525_,271.47
_1541_,271.31
net11,271.07
_1899_,270.335
_0808_,269.505
decode.oc_alu_mode\[11\],269.05
_0788_,268.7
_1993_,268.425
_3336_,268.33
_2512_,268.295
execute.o_reg_ie\[4\],268.08
_3340_,267.335
_0671_,266.675
_1579_,265.83
_0514_,265.57
_0756_,264.82
_1330_,263.89
net224,263.65
_3759_,263.19
net6,262.875
_0529_,262.845
net229,262.74
net226,262.73
_0847_,262.445
_0510_,262.305
_1327_,262.165
net10,261.545
_1624_,261.52
net119,261.295
net227,260.86
_1319_,260.825
execute.o_reg_ie\[5\],260.74
_0713_,260.68
net232,260.51
_1497_,259.67
_1580_,259.47
_1335_,259.445
_3479_,259.445
_3436_,258.965
_3763_,258.15
net7,257.24
_0702_,256.92
execute.rf.reg_outputs\[3\]\[6\],255.625
net137,254.925
_2682_,254.48
_0914_,254.385
execute.sreg_irq_pc.o_d\[5\],253.97
_2544_,253.335
_3543_,252.29
execute.alu_flag_reg.o_d\[1\],252.085
_1406_,250.625
net13,249.995
_1377_,249.535
_0705_,249.28
_0851_,249.195
_2802_,248.795
_3398_,248.55
net102,248.51
net228,248.485
_1167_,248.36
_0512_,248.175
execute.sreg_irq_pc.o_d\[4\],247.99
_0706_,247.12
net9,246.565
_2993_,245.97
_0753_,244.51
net120,242.495
net15,241.78
_1321_,241.75
net243,241.665
execute.o_reg_ie\[3\],241.315
_0870_,240.935
_1322_,240.55
_1328_,239.89
net76,239.615
_2866_,239.59
net103,239.285
_1358_,237.89
_1535_,237.67
net23,237.335
_3489_,237.055
_3191_,236.925
_2315_,236.375
_0747_,236.11
_0532_,236.055
_3521_,235.845
decode.oc_alu_mode\[9\],235.475
_2617_,235.065
_3333_,233.925
net101,233.6
_1631_,232.985
_0528_,232.515
_3349_,231.505
execute.sreg_data_page,230.865
net217,230.665
_0670_,230.635
_3456_,230.36
_3413_,230.35
net20,229.405
_1393_,229.345
_0916_,228.74
_2882_,228.365
_0531_,228.1
_3173_,228.09
_2816_,227.94
_2418_,227.64
_1351_,227.375
_0746_,226.715
_1340_,226.65
decode.oc_alu_mode\[4\],226.575
_2680_,226.485
_2394_,226.2
_0672_,225.72
