net,length_um
_3330_,225.72
_2842_,225.505
execute.rf.reg_outputs\[6\]\[3\],225.435
_1828_,225.27
_1133_,225.26
_1656_,224.62
execute.o_reg_ie\[1\],223.71
decode.i_instr_l\[15\],223.675
_0519_,223.435
_2977_,223.235
_3425_,222.84
_3439_,222.46
_2942_,220.99
execute.rf.reg_outputs\[1\]\[6\],220.48
execute.rf.reg_outputs\[4\]\[3\],220.24
net18,220.08
_1516_,219.795
execute.rf.reg_outputs\[7\]\[9\],219.515
_3304_,219.475
_3500_,219.27
_0793_,218.9
_1135_,218.81
_0760_,218.285
_2896_,217.91
_1921_,217.55
decode.i_flush,217.255
execute.sreg_irq_pc.o_d\[2\],217.245
_1615_,216.635
_1649_,216.485
_0904_,215.615
_0767_,214.7
execute.rf.reg_outputs\[1\]\[7\],214.315
_3353_,214.115
net146,213.84
_1591_,213.075
_0764_,212.6
_0770_,212.335
_1380_,212.235
_1861_,211.93
_1743_,211.9
execute.sreg_irq_pc.o_d\[1\],211.405
execute.o_reg_ie\[0\],210.74
_0773_,210.62
execute.alu_mul_div.mul_res\[11\],210.335
_0518_,210.155
decode.oc_alu_carry_en,209.92
_1334_,209.16
_1341_,209.09
_1207_,208.16
_3414_,207.705
_2918_,207.155
execute.sreg_irq_pc.o_d\[7\],206.97
net19,206.9
_1540_,206.855
net138,206.665
execute.rf.reg_outputs\[7\]\[10\],206.485
execute.alu_mul_div.mul_res\[8\],206.28
net12,206.24
_0700_,206.11
_3501_,205.98
decode.i_instr_l\[11\],205.82
_2957_,205.675
_3332_,205.52
execute.rf.reg_outputs\[3\]\[4\],205.48
_3360_,205.43
execute.rf.reg_outputs\[6\]\[6\],205.35
decode.oc_jump_cond_code\[0\],204.79
_3446_,204.57
_3393_,204.425
_1304_,204.35
execute.rf.reg_outputs\[5\]\[15\],204.01
_1264_,203.945
net17,203.575
_2724_,203.35
net142,203.32
decode.oc_jump_cond_code\[1\],203.2
_1362_,202.565
_0566_,202.5
_0906_,202.19
_2776_,202.19
_1306_,201.615
execute.rf.reg_outputs\[5\]\[6\],201.54
execute.rf.reg_outputs\[1\]\[5\],200.745
execute.sreg_irq_pc.o_d\[6\],200.745
net139,200.67
_1834_,200.57
_3357_,200.395
decode.i_instr_l\[12\],200.285
_1429_,199.99
decode.i_instr_l\[10\],199.705
execute.o_reg_ie\[7\],199.37
_0567_,198.92
_1164_,198.855
_1489_,198.18
_3457_,198.095
_1697_,197.815
_2753_,197.715
execute.rf.reg_outputs\[5\]\[12\],197.53
fetch.out_buffer_valid,197.23
execute.alu_mul_div.mul_res\[10\],197.02
_1498_,197
net16,196.32
_1865_,196.205
_2700_,195.69
execute.rf.reg_outputs\[4\]\[7\],195.605
_3458_,195.5
net121,195.47
_1574_,195.01
_2515_,194.47
net143,193.935
_1343_,193.81
execute.rf.reg_outputs\[4\]\[6\],192.225
net47,191.445
_1125_,191.215
execute.rf.reg_outputs\[7\]\[11\],191.05
_1833_,190.36
_1641_,189.73
execute.alu_mul_div.mul_res\[5\],189.35
net87,189.255
_0772_,189.21
execute.alu_mul_div.mul_res\[9\],189.045
_0762_,188.895
_0547_,188.715
net5,188.7
_0569_,188.595
net122,187.93
net140,187.875
decode.oc_jump_cond_code\[2\],187.615
execute.rf.reg_outputs\[4\]\[2\],187.495
_3391_,187.425
_3625_,186.755
_1821_,186.415
_0900_,186.405
decode.i_instr_l\[13\],186.035
_0738_,185.79
_0668_,185.675
_1160_,185.645
_0680_,185.045
_3363_,184.02
net134,183.28
decode.i_instr_l\[14\],183.11
_2055_,182.625
_1174_,182.24
_3434_,181.605
_0678_,181.57
_0766_,181.465
execute.rf.reg_outputs\[1\]\[4\],181.015
_3341_,180.775
execute.alu_mul_div.mul_res\[6\],180.735
_0758_,179.985
_3582_,179.89
_1767_,179.88
_1824_,179.58
_0691_,179.305
clknet_1_0_0_i_clk,179.265
_3597_,179.135
_1234_,178.88
execute.rf.reg_outputs\[7\]\[14\],178.54
execute.alu_mul_div.mul_res\[7\],178.445
clknet_1_1_0_i_clk,178.26
execute.alu_mul_div.mul_res\[12\],178.215
_1173_,178
execute.alu_mul_div.mul_res\[4\],177.835
_1119_,177.76
_3579_,177.625
execute.rf.reg_outputs\[7\]\[15\],176.945
_1559_,176.655
_0565_,176.2
execute.rf.reg_outputs\[5\]\[14\],176.1
decode.oc_alu_mode\[3\],176.085
_2687_,175.87
_3192_,175.225
net123,174.335
_1121_,173.995
net45,173.63
_1314_,172.74
net197,172.56
_0761_,172.53
_0791_,171.795
_2114_,170.97
_0902_,170.94
net48,170.355
execute.alu_mul_div.mul_res\[3\],169.965
_3327_,169.845
execute.sreg_irq_pc.o_d\[0\],169.69
_1367_,169.485
_1577_,169.445
_3664_,169.435
_1360_,169.215
execute.rf.reg_outputs\[4\]\[9\],169.105
_0699_,169.1
_0912_,168.605
_3468_,168.575
_1823_,168.495
execute.alu_mul_div.mul_res\[13\],168.17
net132,167.775
_1381_,167.665
execute.rf.reg_outputs\[3\]\[3\],167.655
_2618_,167.055
net245,166.745
net236,166.695
_1542_,166.345
_0568_,166.305
_1331_,166.285
_1155_,166.21
decode.oc_l_reg_sel\[2\],166.115
execute.o_reg_ie\[6\],165.935
net133,165.765
_0677_,165.185
execute.alu_mul_div.mul_res\[2\],165.13
_0794_,165.105
execute.rf.reg_outputs\[6\]\[2\],165.05
_1949_,164.505
_1308_,164.125
clknet_0_i_clk,164.045
_1030_,163.555
execute.o_reg_ie\[2\],163.155
_3403_,162.79
_1165_,162.64
_3600_,162.405
_0910_,162.06
clknet_2_3_0_i_clk,161.81
decode.i_instr_l\[7\],161.1
execute.rf.reg_outputs\[7\]\[12\],160.1
execute.rf.reg_outputs\[6\]\[5\],160.095
_0689_,160.035
_0898_,159.865
_1350_,159.6
execute.rf.reg_outputs\[6\]\[9\],159.595
_3392_,159.09
execute.sreg_irq_pc.o_d\[15\],157.845
execute.rf.reg_outputs\[6\]\[4\],157.785
net129,157.53
_3331_,157.21
execute.rf.reg_outputs\[7\]\[7\],156.915
_2689_,156.785
decode.oc_alu_mode\[2\],156.705
execute.rf.reg_outputs\[5\]\[5\],156.675
net46,156.36
execute.rf.reg_outputs\[7\]\[13\],156.29
_1717_,156.235
_0775_,156.095
execute.rf.reg_outputs\[4\]\[5\],156.09
_1042_,155.7
_0684_,154.795
net124,154.73
execute.rf.reg_outputs\[6\]\[7\],154.515
execute.rf.reg_outputs\[2\]\[11\],153.395
_3039_,153.38
_1604_,153.325
execute.rf.reg_outputs\[5\]\[2\],153.225
_1039_,152.465
_0807_,152.45
_3594_,152.305
_3709_,152.19
_0765_,151.995
_0511_,151.695
net130,151.16
execute.rf.reg_outputs\[4\]\[8\],150.585
_1045_,149.88
_0669_,149.705
execute.pc_high_out\[0\],149.4
execute.rf.reg_outputs\[1\]\[2\],148.695
execute.trap_flag,148.665
_1037_,148.595
_0812_,148.47
execute.rf.reg_outputs\[3\]\[12\],148.44
execute.rf.reg_outputs\[5\]\[13\],148.435
execute.rf.reg_outputs\[2\]\[6\],148
execute.alu_flag_reg.o_d\[0\],147.99
net22,147.63
_3070_,147.295
_3337_,147.24
execute.rf.reg_outputs\[3\]\[13\],146.725
_0840_,146.685
execute.rf.reg_outputs\[3\]\[2\],146.425
execute.rf.reg_outputs\[6\]\[8\],146.015
execute.rf.reg_outputs\[7\]\[6\],145.805
_1539_,145.5
_3047_,144.935
_3654_,144.755
_3595_,144.575
execute.rf.reg_outputs\[3\]\[8\],144.54
_1369_,144.5
_0811_,144.375
_3624_,144.32
_2755_,143.91
_0527_,143.69
execute.rf.reg_outputs\[5\]\[7\],143.24
net131,142.965
execute.rf.reg_outputs\[3\]\[15\],142.95
execute.rf.reg_outputs\[5\]\[9\],142.54
_0786_,142.525
_1853_,142.085
_1928_,141.91
_1153_,141.625
decode.oc_jump_cond_code\[3\],140.765
_1748_,140.685
execute.rf.reg_outputs\[2\]\[15\],140.305
_1288_,139.81
_0593_,139.465
execute.rf.reg_outputs\[5\]\[4\],139.195
execute.rf.reg_outputs\[1\]\[3\],139.075
_0821_,139.055
_0779_,138.61
_1161_,138.435
_3726_,138.415
_1186_,138.39
_2514_,138.155
execute.sreg_irq_pc.o_d\[8\],138.12
_0659_,138.105
_3810_,137.675
_3016_,137.315
_0780_,137.26
_2696_,136.96
execute.alu_flag_reg.o_d\[4\],136.79
execute.rf.reg_outputs\[5\]\[10\],136.705
_1774_,136.65
execute.rf.reg_outputs\[3\]\[5\],136.55
_0781_,136.355
_0795_,136.03
_1028_,135.105
_2683_,134.715
_3565_,134.705
execute.rf.reg_outputs\[3\]\[9\],134.67
_1134_,134.385
execute.sreg_irq_pc.o_d\[3\],134.245
_0804_,133.955
execute.rf.reg_outputs\[4\]\[1\],133.855
_1560_,133.79
net249,133.57
_0664_,133.45
_0580_,133.19
execute.rf.reg_outputs\[6\]\[1\],133.165
_1265_,133.14
_2433_,132.765
execute.alu_mul_div.mul_res\[1\],132.625
_0784_,132.59
_3062_,132.395
execute.sreg_irq_pc.o_d\[9\],132.06
_1600_,131.765
net98,131.23
_0152_,131.22
net126,130.475
execute.alu_mul_div.cbit\[2\],130.16
_0151_,130.05
execute.rf.reg_outputs\[2\]\[7\],129.845
_0755_,129.81
execute.rf.reg_outputs\[5\]\[8\],129.53
execute.rf.reg_outputs\[4\]\[4\],129.52
execute.rf.reg_outputs\[4\]\[10\],129.515
net250,129.32
_1860_,129.26
_2734_,129
_1371_,128.91
_1044_,128.73
_0520_,128.545
execute.rf.reg_outputs\[3\]\[10\],128.535
execute.alu_mul_div.mul_res\[0\],128.46
execute.rf.reg_outputs\[3\]\[14\],128.445
_1558_,128.025
_1773_,127.875
clknet_2_2_0_i_clk,127.76
_3121_,127.735
execute.rf.reg_outputs\[4\]\[0\],127.71
execute.rf.reg_outputs\[2\]\[2\],127.655
_3736_,127.495
_3038_,127.395
_2529_,127.32
_0683_,127.12
_1550_,126.955
execute.rf.reg_outputs\[5\]\[11\],126.785
_2462_,126.64
execute.rf.reg_outputs\[5\]\[3\],126.59
_3435_,126.55
execute.o_data\[6\],126.32
execute.rf.reg_outputs\[2\]\[4\],126.09
net44,125.71
clknet_2_0_0_i_clk,125.58
_0828_,125.145
_3667_,124.975
clknet_leaf_94_i_clk,124.91
_2992_,124.575
execute.rf.reg_outputs\[7\]\[5\],124.565
execute.alu_mul_div.i_div,124.535
_1650_,124.34
_0711_,124.32
execute.o_data\[4\],124.095
_1027_,123.915
net127,123.71
_1583_,123.705
execute.rf.reg_outputs\[4\]\[11\],123.615
_0504_,123.35
execute.rf.reg_outputs\[2\]\[10\],122.83
_3618_,122.58
_3050_,122.015
execute.rf.reg_outputs\[3\]\[7\],121.915
execute.rf.reg_outputs\[5\]\[0\],121.885
execute.rf.reg_outputs\[4\]\[15\],121.67
_3091_,121.42
_3042_,121.385
_1620_,121.35
_0530_,121.235
execute.o_data\[3\],120.83
net246,120.69
_1872_,120.515
decode.i_instr_l\[8\],120.265
clknet_2_1_0_i_clk,120.19
_0909_,119.87
_1034_,119.775
_2910_,119.39
_3747_,119.34
execute.rf.reg_outputs\[7\]\[2\],119.3
_3040_,119.185
execute.alu_mul_div.mul_res\[15\],118.89
execute.alu_mul_div.mul_res\[14\],118.8
_0806_,118.495
_2902_,118.365
_3586_,117.77
execute.rf.reg_outputs\[3\]\[0\],117.77
_3630_,117.755
_1200_,117.705
execute.rf.reg_outputs\[2\]\[12\],117.39
decode.oc_alu_mode\[12\],117.33
_0822_,117.27
_3592_,116.975
_3057_,116.475
execute.rf.reg_outputs\[2\]\[8\],116.41
_3676_,116.18
_1769_,115.74
execute.o_data\[9\],115.61
net72,115.56
_3643_,115.4
_1041_,114.9
_3686_,114.46
decode.oc_mem_long,114.105
_1776_,113.955
_0802_,113.56
_1376_,113.45
_3533_,113.175
_2052_,113.145
_2456_,113.02
_1337_,112.465
_2188_,112.32
decode.oc_alu_mode\[1\],112.265
_3599_,111.685
execute.pc_high_buff_out\[0\],111.445
net43,111.16
_3696_,110.99
execute.o_data\[1\],110.615
net198,110.5
net31,110.455
_0665_,110.16
net28,109.96
_2511_,109.515
_3131_,108.745
_3631_,108.745
_3114_,108.635
execute.rf.reg_outputs\[1\]\[0\],108.63
_1779_,108.36
net24,108.315
_0897_,108.21
net114,107.21
net125,107.135
_1169_,107.06
clknet_leaf_91_i_clk,107.025
decode.oc_mem_access,107.02
_1971_,106.99
_1695_,105.985
_0610_,105.95
clknet_leaf_68_i_clk,105.865
_1613_,105.715
_1610_,105.035
execute.sreg_irq_pc.o_d\[10\],104.67
_1924_,104.665
_1589_,104.61
_0509_,104.595
execute.rf.reg_outputs\[2\]\[1\],104.51
clknet_leaf_47_i_clk,104.465
_1747_,104.085
decode.oc_mem_we,103.52
_2764_,103.46
_1870_,103.135
_0915_,102.905
clknet_leaf_69_i_clk,102.81
_1634_,102.77
_3611_,102.58
_3511_,102.39
_2559_,102.245
_3101_,102.06
_1338_,101.505
net27,101.14
_2530_,101.09
net29,101.04
_2669_,100.46
_3683_,100.395
clknet_leaf_24_i_clk,100.315
net201,100.275
_3165_,100.195
net175,100.04
execute.sreg_irq_pc.o_d\[11\],99.935
_1822_,99.805
_2875_,99.745
clknet_leaf_5_i_clk,99.74
execute.rf.reg_outputs\[4\]\[14\],99.545
clknet_leaf_87_i_clk,99.46
_1538_,99.395
execute.rf.reg_outputs\[2\]\[14\],99.13
net74,99.055
execute.alu_flag_reg.o_d\[2\],98.86
_1625_,98.745
execute.pc_high_buff_out\[1\],98.71
execute.rf.reg_outputs\[4\]\[13\],98.675
_0737_,98.585
_3692_,98.28
net26,98.025
_0153_,97.985
_3084_,97.605
execute.o_submit,97.605
net30,97.46
execute.rf.reg_outputs\[4\]\[12\],97.225
clknet_leaf_56_i_clk,97.225
_1199_,97.12
_1038_,96.9
_2420_,96.65
_0503_,96.255
_3045_,96.145
clknet_leaf_85_i_clk,96.09
net150,96.045
_1375_,96.01
execute.rf.reg_outputs\[3\]\[11\],95.95
_1354_,95.93
execute.rf.reg_outputs\[6\]\[0\],95.835
_3305_,95.77
clknet_leaf_45_i_clk,95.755
_3577_,95.73
_0751_,95.565
net71,95.38
net164,95.31
_1302_,95.095
_1416_,95.05
_1889_,95.01
execute.pc_high_out\[7\],94.97
_0505_,94.95
_2576_,94.76
net149,94.54
_1619_,94.48
_0911_,94.305
_0899_,94.23
execute.rf.reg_outputs\[2\]\[9\],93.88
decode.oc_alu_mode\[7\],93.86
execute.alu_flag_reg.o_d\[3\],93.345
_3063_,93.32
_2750_,93.22
execute.pc_high_out\[4\],93
_0704_,92.82
_1122_,92.815
_1599_,92.755
net113,92.53
execute.rf.reg_outputs\[6\]\[10\],92.515
_2541_,92.32
clknet_leaf_31_i_clk,92.31
_3051_,92.155
_0701_,91.98
_0796_,91.93
clknet_leaf_57_i_clk,91.885
_3757_,91.755
_1847_,91.675
_0835_,91.64
clknet_leaf_70_i_clk,91.56
_1370_,91.25
_0843_,91.015
_1874_,90.855
_0913_,90.765
clknet_leaf_18_i_clk,90.625
_0832_,90.37
execute.rf.reg_outputs\[2\]\[5\],90.175
_1990_,90.105
net202,89.995
_1036_,89.91
execute.pc_high_out\[5\],89.89
_1128_,89.735
_1368_,89.63
clknet_leaf_62_i_clk,89.215
execute.rf.reg_outputs\[3\]\[1\],89.155
net155,89.055
_0506_,88.525
_2029_,88.5
execute.rf.reg_outputs\[5\]\[1\],88.27
_3718_,88.195
_2925_,88.065
_3043_,87.705
_2695_,87.62
execute.rf.reg_outputs\[1\]\[10\],87.555
_1923_,87.345
_0901_,87.17
_3606_,87.135
clknet_leaf_29_i_clk,86.875
execute.pc_high_out\[6\],86.855
_2436_,86.695
_3645_,86.44
_3075_,86.2
clknet_leaf_84_i_clk,86.165
execute.alu_mul_div.comp,85.91
_1707_,85.875
net196,85.735
_3128_,85.655
net204,85.635
_2598_,85.595
execute.o_data\[8\],85.58
_1527_,85.52
_0709_,85.455
net147,85.435
execute.rf.reg_outputs\[1\]\[1\],85.25
decode.oc_l_reg_sel\[0\],85.22
_0687_,85.035
execute.pc_high_out\[1\],84.93
_3713_,84.775
execute.alu_mul_div.div_cur\[0\],84.7
_0790_,84.62
clknet_leaf_66_i_clk,84.415
_0508_,84.365
execute.rf.reg_outputs\[1\]\[9\],84.24
_1922_,84.22
_2417_,84.08
fetch.prev_request_pc\[0\],83.945
execute.rf.reg_outputs\[7\]\[4\],83.76
execute.rf.reg_outputs\[1\]\[8\],83.73
execute.sreg_irq_pc.o_d\[12\],83.73
_1486_,83.52
_1386_,83.395
decode.oc_sys,83.215
clknet_leaf_25_i_clk,82.475
execute.o_data\[5\],82.395
execute.rf.reg_outputs\[2\]\[3\],82.31
_1565_,82.3
_2962_,82.15
execute.rf.reg_outputs\[1\]\[13\],82.13
net40,82.025
_0712_,81.885
_3576_,81.875
_1478_,81.775
_0507_,81.66
net199,81.46
clknet_leaf_90_i_clk,81.41
_0777_,81.21
clknet_leaf_15_i_clk,81.205
fetch.prev_request_pc\[11\],80.93
_0797_,80.465
execute.alu_mul_div.cbit\[0\],80.11
_0871_,79.815
net70,79.655
_3108_,79.62
_0903_,79.515
decode.oc_sreg_load,79.33
net105,79.26
_0862_,79.225
execute.rf.reg_outputs\[6\]\[15\],79.09
net203,79.04
clknet_leaf_42_i_clk,78.975
execute.o_data\[11\],78.935
clknet_leaf_86_i_clk,78.875
_0728_,78.835
execute.rf.reg_outputs\[6\]\[14\],78.77
fetch.prev_request_pc\[1\],78.715
clknet_leaf_33_i_clk,78.435
_1789_,78.42
execute.rf.reg_outputs\[2\]\[13\],78.415
clknet_leaf_88_i_clk,78.4
_1534_,78.165
_1942_,77.695
net115,77.51
_1638_,77.42
_0814_,77.09
_2298_,77.08
execute.rf.reg_outputs\[1\]\[14\],76.78
_2838_,76.66
execute.rf.reg_outputs\[1\]\[15\],76.655
_3663_,76.625
_2540_,76.385
fetch.pc_reset_override,75.98
_1866_,75.73
execute.rf.reg_outputs\[7\]\[3\],75.695
_1775_,75.46
_1352_,75.275
clknet_leaf_0_i_clk,75.19
clknet_leaf_12_i_clk,74.885
net73,74.8
_2973_,74.7
_1525_,74.485
_2945_,74.3
net39,74.27
_0619_,73.705
_3245_,73.56
_1864_,73.425
_3604_,73.275
_1642_,73.085
_2840_,73.08
_2257_,72.85
_0905_,72.66
_1132_,72.535
_2011_,72.535
_2455_,72.31
_0141_,72.15
_2872_,72.135
decode.i_jmp_pred_pass,72.035
execute.o_data\[2\],72.035
_1930_,71.7
_1892_,71.66
clknet_leaf_49_i_clk,71.56
net152,71.48
net161,71.375
net205,71.195
_1590_,71.11
_1029_,70.985
_1413_,70.74
fetch.prev_request_pc\[8\],70.675
execute.pc_high_out\[3\],70.65
execute.o_mem_width,70.48
_3144_,70.455
_1459_,70.45
clknet_leaf_76_i_clk,70.435
net151,70.395
execute.sreg_irq_pc.o_d\[13\],70.355
_2080_,70.32
_0695_,70.295
net154,70.235
_3761_,69.995
_1418_,69.88
clknet_leaf_14_i_clk,69.75
_3660_,69.655
_3607_,69.5
execute.o_mem_addr_high\[0\],69.44
net153,69.435
_2310_,69.42
_0980_,69.38
clknet_leaf_53_i_clk,69.285
execute.o_data\[0\],69.175
_3210_,68.895
decode.oc_sreg_irt,68.665
net156,68.59
_2572_,68.54
clknet_leaf_8_i_clk,68.455
execute.pc_high_buff_out\[4\],68.43
_3137_,68.355
net215,68.315
clknet_leaf_65_i_clk,68.245
net97,68.055
clknet_leaf_36_i_clk,67.96
clknet_leaf_75_i_clk,67.865
clknet_leaf_50_i_clk,67.855
clknet_leaf_7_i_clk,67.835
_1687_,67.685
_1011_,67.595
clknet_leaf_20_i_clk,67.585
clknet_leaf_27_i_clk,67.475
decode.oc_pc_inc,67.41
net61,67.35
execute.sreg_irq_pc.o_d\[14\],67.33
net208,67.31
_0735_,67.265
_0741_,67.25
_3636_,67.24
_1652_,67.215
_3545_,67.14
_3153_,67.095
net69,67.075
_3743_,67.02
_2851_,66.92
_0799_,66.88
_2578_,66.82
_1346_,66.77
_2422_,66.74
_3613_,66.655
execute.o_data\[15\],66.52
execute.rf.reg_outputs\[6\]\[13\],66.275
clknet_leaf_34_i_clk,66.26
_2112_,66.19
clknet_leaf_55_i_clk,66.15
_2744_,66.06
clknet_leaf_54_i_clk,66.055
_1366_,65.995
execute.pc_high_buff_out\[7\],65.855
clknet_leaf_46_i_clk,65.685
_0830_,65.61
_3203_,65.51
decode.oc_alu_mode\[13\],65.43
fetch.prev_request_pc\[12\],65.43
_2839_,65.42
_1826_,65.285
_3704_,65.275
_2020_,65.255
_1303_,65.235
_3656_,64.965
execute.irq_en,64.96
_2292_,64.65
clknet_leaf_23_i_clk,64.595
_2487_,64.59
_2798_,64.015
