net,length_um
_0657_,899.87
_1312_,768.295
net85,727.915
net242,683.1
_0627_,672.135
_0642_,670.36
_0591_,650.075
_0809_,644.07
net86,630.645
_3037_,628.535
net91,620.93
net84,619.41
_0601_,607.485
_0618_,603.495
net88,596.415
net99,592.62
_1180_,585.855
net94,585.07
net92,568.005
_0844_,561.14
net267,561.075
net90,560.865
clknet_3_7_0_i_clk,560.73
net247,557.415
_1421_,556.21
net89,554.85
_1449_,553.06
clknet_3_6_0_i_clk,541.6
_1612_,535.66
net252,534.88
_1359_,532.895
_3345_,525.3
net93,519.43
net234,504
net235,501.855
_0561_,498.135
_1420_,494.395
_1313_,494.03
_1353_,491.625
clknet_3_5_0_i_clk,483.965
net251,482.865
_3007_,480.53
net96,478.61
_1410_,476.925
_3143_,475.75
net75,475.155
net41,474.935
_3130_,474.765
net240,472.155
net100,470.12
_3136_,469.975
_1110_,464.03
_0553_,463.86
_1509_,459.96
_3113_,459.04
_1182_,457.22
_1105_,451.48
net104,450.515
net255,448.38
_1402_,448.17
net244,439.68
_1317_,437.515
_0696_,437.295
_1490_,435.715
_1633_,434.505
_1551_,434.34
_1197_,433.83
_1355_,431.035
_3068_,427.8
_1562_,426.035
i_clk,424.985
_3120_,423.345
_1500_,420.79
_1626_,419.4
_3074_,416.81
_0574_,416.08
_1608_,412.705
_3098_,409.345
_3055_,409.245
_3089_,409.11
_1395_,407.695
_1307_,406.025
_1323_,405.15
_3082_,403.35
_1356_,402.36
_1555_,399.12
net223,398.21
net95,397.04
_1442_,396.3
clknet_3_1_0_i_clk,396.225
_1718_,396.06
_1563_,396.025
net274,395.47
net128,395.335
_3367_,394.735
execute.alu_mul_div.i_mul,393.94
clknet_3_4_0_i_clk,392.025
_1428_,390.655
net195,384.905
_1609_,380.355
_3532_,379.825
net218,379.145
clknet_3_0_0_i_clk,378.935
_1325_,375.995
_1460_,374.7
_1443_,374.585
_3105_,374.305
_3044_,371.6
net145,367.585
_1517_,362.835
_0174_,362.41
_1339_,359.835
_1435_,359.765
_2117_,359.44
_0544_,359.39
_2044_,359.23
_0838_,357.025
_1305_,355.855
_1106_,355.595
_1644_,355.415
_0666_,355.265
net1,354.64
_1925_,354.54
_2296_,354.44
_1480_,354.42
_3370_,353.77
_1345_,351.875
_1403_,351.74
net112,351.415
decode.oc_alu_mode\[6\],350.97
_1361_,350.69
_3095_,349.74
_3328_,349.685
_3523_,348.155
_1218_,347.96
_1461_,346.62
_1103_,346.505
_3326_,345.445
_3060_,342.85
_3389_,342.34
_3151_,341.855
_1989_,341.14
_1578_,340.6
_3492_,340.39
_3361_,339.97
_1658_,339.855
_1479_,339.835
clknet_3_3_0_i_clk,339.665
_0523_,339.28
_3356_,337.07
_1193_,336.665
_3377_,336.285
execute.sreg_long_ptr_en,333.955
net239,332.8
_1508_,332.42
_1159_,331.74
net135,331.61
_1543_,330.575
_1628_,328.93
_2752_,328.23
_3386_,328
_0740_,327.305
_3380_,326.815
_1126_,326.25
_3410_,325.305
_3352_,323.85
net2,323.675
_1630_,322.995
_1379_,321.825
net144,317.97
_1332_,317.8
_1436_,317.77
_1277_,316.945
_1549_,316.825
net220,316.66
_1401_,316.415
_0859_,315.525
_1348_,315.45
_1471_,314.655
net221,313.84
_3544_,312.005
_3383_,310.1
_3374_,309.035
_3773_,308.24
net219,308.21
_3348_,306.39
net231,306.205
_3790_,305.43
_1383_,304.465
_3779_,304.07
net141,303.42
_1808_,303.405
net222,303.355
_0845_,302.04
net3,301.92
_0517_,300.15
_1311_,300.045
net237,299.89
_0744_,299.6
_3518_,299.555
_1310_,299.05
_3553_,298.295
_1468_,298.075
_1515_,297.845
_0536_,297.64
net241,297.52
_0787_,297.505
